policy,policy_kind,rows,avg_mission_utility,avg_goodput,avg_spectral_efficiency,outage_rate,availability,q05_margin_db_mean,q05_margin_db_p10,switch_count,switching_rate,robust_mode_share,high_rate_mode_share,utility_gain_vs_fixed_high_pct,oracle_utility_gap_pct,scenario,effective_path_m,clear_sky_snr_db,outage_penalty
Fixed Peak-Rate,fixed,3225,2.2459210469221764,3.5272842948420604,4.200000000000001,0.16017040598998558,0.8398295940100144,-1.645526478666642,-5.2267865266136955,0,0.0,0.0,1.0,-14.60368428944315,26.306591574568554,L500_SNR22_A8,500.0,22.0,8.0
Fixed Balanced,fixed,3225,1.7655082434910685,1.793664779416727,1.8000000000000005,0.003519566990707325,0.9964804330092927,6.354473521333357,2.7732134733863045,0,0.0,0.0,0.0,-32.87034753186574,42.06994932241636,L500_SNR22_A8,500.0,22.0,8.0
Fixed Conservative,fixed,3225,0.9965346748178311,0.9996149638686479,1.0,0.00038503613135209837,0.9996149638686479,10.354473521333357,6.7732134733863045,0,0.0,1.0,0.0,-62.10891303419473,67.3015946388254,L500_SNR22_A8,500.0,22.0,8.0
Fixed Survival,fixed,3225,0.34969739718342907,0.3499873160496048,0.35,3.623985827196016e-05,0.999963760141728,14.354473521333357,10.773213473386305,0,0.0,1.0,0.0,-86.70350884597642,88.52569053962753,L500_SNR22_A8,500.0,22.0,8.0
Oracle Policy,oracle,3225,2.93243478000063,3.20887883302989,3.286635658914729,0.023037004419104962,0.976962995580895,1.1957138314108775,-0.20237197510885138,167,0.05178294573643411,0.008682170542635658,0.8372093023255813,17.51120227120963,0.0,L500_SNR22_A12,500.0,22.0,12.0
Improved LSTM Policy,forecast,3225,2.869182244402254,3.223213234834414,3.3258294573643408,0.02950258253601335,0.9704974174639867,1.0692022035039006,-0.6040523113232809,207,0.0641860465116279,0.005271317829457364,0.8437209302325581,14.97648894849216,2.156997183015357,L500_SNR22_A12,500.0,22.0,12.0
TCN Policy,forecast,3225,2.8623992216930185,3.1910288427301015,3.286263565891473,0.027385801753090237,0.9726141982469098,1.2051711957519626,-0.5043733214329115,265,0.08217054263565891,0.00496124031007752,0.8226356589147287,14.704673473163842,2.3883074496748566,L500_SNR22_A12,500.0,22.0,12.0
PatchTST Policy,forecast,3225,2.858807468291922,3.1914885350910183,3.286139534883721,0.027723422233258056,0.9722765777667419,1.1857913507907223,-0.6049350133922751,293,0.09085271317829458,0.0065116279069767444,0.8449612403100775,14.560741453497748,2.510791108155267,L500_SNR22_A12,500.0,22.0,12.0
TFT Policy,forecast,3225,2.855913626126746,3.178677793661201,3.2733643410852715,0.026897013961204648,0.9731029860387953,1.262535536837234,-0.45101263302892025,287,0.0889922480620155,0.008992248062015503,0.8096124031007752,14.444776769702518,2.6094750476894655,L500_SNR22_A12,500.0,22.0,12.0
LSTM-raw Policy,forecast,3225,2.8471394189150874,3.2656673597053896,3.3872248062015506,0.03487732839919185,0.9651226716008081,0.8504425135814201,-0.9035900379660823,231,0.07162790697674419,0.0015503875968992248,0.8772093023255814,14.093168732091357,2.908687404312002,L500_SNR22_A12,500.0,22.0,12.0
Persistence Policy,forecast,3225,2.838457290308674,3.18434125196164,3.284403100775194,0.02882366347108051,0.9711763365289194,1.202225459317854,-0.6755978676327278,167,0.05178294573643411,0.008682170542635658,0.8372093023255813,13.74525055236881,3.204759755711801,L500_SNR22_A12,500.0,22.0,12.0
Fixed High-Rate,fixed,3225,2.4954512619424367,2.8990902523884876,3.0,0.03363658253717087,0.9663634174628292,1.854473521333358,-1.7267865266136952,0,0.0,0.0,1.0,0.0,14.901730160835818,L500_SNR22_A12,500.0,22.0,12.0
Fixed Balanced,fixed,3225,1.7514299755282388,1.793664779416727,1.8000000000000005,0.003519566990707325,0.9964804330092927,6.354473521333357,2.7732134733863045,0,0.0,0.0,0.0,-29.815099888388865,40.27386431667331,L500_SNR22_A12,500.0,22.0,12.0
Fixed Peak-Rate,fixed,3225,1.6052394229622342,3.5272842948420604,4.200000000000001,0.16017040598998558,0.8398295940100144,-1.645526478666642,-5.2267865266136955,0,0.0,0.0,1.0,-35.673381105719116,45.25916027493409,L500_SNR22_A12,500.0,22.0,12.0
Fixed Conservative,fixed,3225,0.9949945302924228,0.9996149638686479,1.0,0.00038503613135209837,0.9996149638686479,10.354473521333357,6.7732134733863045,0,0.0,1.0,0.0,-60.12767127666008,66.06933811185363,L500_SNR22_A12,500.0,22.0,12.0
Fixed Survival,fixed,3225,0.3495524377503413,0.3499873160496048,0.35,3.623985827196016e-05,0.999963760141728,14.354473521333357,10.773213473386305,0,0.0,1.0,0.0,-85.99241575737076,88.07978816325912,L500_SNR22_A12,500.0,22.0,12.0
Oracle Policy,oracle,3225,1.3688832891403102,1.6624615016780986,1.7981705426356591,0.0733945531344471,0.9266054468655529,-0.3827829331378082,-2.898739539817397,171,0.053023255813953486,0.2930232558139535,0.21767441860465117,161.47047779171234,0.0,L800_SNR18_A4,800.0,18.0,4.0
Improved LSTM Policy,forecast,3225,1.3419765452726178,1.649140097154063,1.7935348837209304,0.0767908879703614,0.9232091120296386,-0.37146510368044383,-3.305453683026217,225,0.06976744186046512,0.2951937984496124,0.2124031007751938,156.33101905865766,1.9655980959918413,L800_SNR18_A4,800.0,18.0,4.0
TCN Policy,forecast,3225,1.3400214039964684,1.6456175399579462,1.7905116279069768,0.0763990339903695,0.9236009660096305,-0.3454185920525369,-3.1570777483966515,281,0.08713178294573644,0.31038759689922485,0.21984496124031008,155.95756740819147,2.10842555919926,L800_SNR18_A4,800.0,18.0,4.0
TFT Policy,forecast,3225,1.3376787392446003,1.6489963759017845,1.798480620155039,0.077829409164296,0.922170590835704,-0.37177518119982367,-3.1669863230586768,330,0.10232558139534884,0.3032558139534884,0.22542635658914728,155.51009487577312,2.2795624830300203,L800_SNR18_A4,800.0,18.0,4.0
PatchTST Policy,forecast,3225,1.3312891818915946,1.6153269115211224,1.7425581395348837,0.07100943240738199,0.928990567592618,-0.17611626647114154,-3.3218346192998194,319,0.09891472868217054,0.29550387596899225,0.17147286821705426,154.28962514893675,2.746334004290866,L800_SNR18_A4,800.0,18.0,4.0
LSTM-raw Policy,forecast,3225,1.3290530114021402,1.6877300591793318,1.8636589147286826,0.08966926194429795,0.9103307380557021,-0.6925503749982733,-3.8842507738380387,244,0.07565891472868216,0.24434108527131784,0.2344186046511628,153.86249409186277,2.909691282971565,L800_SNR18_A4,800.0,18.0,4.0
Persistence Policy,forecast,3225,1.3273331453728854,1.6431276760045348,1.7946976744186045,0.07894863265791237,0.9210513673420876,-0.3682092897269555,-3.423177606317402,172,0.05333333333333334,0.2945736434108527,0.2158139534883721,153.53398238018178,3.0353313607560555,L800_SNR18_A4,800.0,18.0,4.0
Fixed Balanced,fixed,3225,1.1787391259809796,1.6071949011665105,1.8000000000000005,0.10711394379638287,0.8928860562036172,-0.7514651036804438,-7.126013531942659,0,0.0,0.0,0.0,125.15102997246186,13.890458351547665,L800_SNR18_A4,800.0,18.0,4.0
Fixed Conservative,fixed,3225,0.8174857841947198,0.9634971568389439,1.0,0.036502843161056044,0.963497156838944,3.2485348963195557,-3.126013531942659,0,0.0,1.0,0.0,56.1480078521266,40.28082666506072,L800_SNR18_A4,800.0,18.0,4.0
Fixed High-Rate,fixed,3225,0.5235326376810938,1.9386568447204688,3.0,0.35378105175984365,0.6462189482401564,-5.251465103680443,-11.62601353194266,0,0.0,0.0,1.0,0.0,61.75476449786422,L800_SNR18_A4,800.0,18.0,4.0
Fixed Survival,fixed,3225,0.3031424058491741,0.3462298487464852,0.35,0.01077186072432779,0.9892281392756722,7.248534896319557,0.8739864680573408,0,0.0,1.0,0.0,-42.096751180232786,77.85476612549238,L800_SNR18_A4,800.0,18.0,4.0
Fixed Peak-Rate,fixed,3225,-2.1554104711457893,0.9447897586814251,4.200000000000001,0.7750500574568036,0.22494994254319645,-8.751465103680443,-15.12601353194266,0,0.0,0.0,1.0,-511.7050812138176,257.45757788448395,L800_SNR18_A4,800.0,18.0,4.0
Oracle Policy,oracle,3225,1.1659601550590362,1.4568614730480711,1.5104651162790699,0.036362664748629356,0.9636373352513706,0.9694651288776956,-0.9301848275255371,180,0.05581395348837209,0.3798449612403101,0.10046511627906977,230.77290040979534,0.0,L800_SNR18_A8,800.0,18.0,8.0
Improved LSTM Policy,forecast,3225,1.1349355847227207,1.4446295566967569,1.5009302325581395,0.03871174649675451,0.9612882535032455,0.986674431203277,-1.5605748493704539,183,0.05674418604651163,0.3714728682170543,0.08341085271317829,227.29321628058747,2.6608602533887256,L800_SNR18_A8,800.0,18.0,8.0
TCN Policy,forecast,3225,1.1279248476931725,1.4233462137403445,1.4776434108527134,0.036927670755896494,0.9630723292441035,1.1231085397304088,-1.3469526148316098,250,0.07751937984496124,0.38666666666666666,0.08589147286821705,226.50689917413544,3.2621446968689805,L800_SNR18_A8,800.0,18.0,8.0
PatchTST Policy,forecast,3225,1.123879522647093,1.4083069070012735,1.4546046511627908,0.03555342304427259,0.9644465769557274,1.1643488498079282,-1.6061296286163622,272,0.08434108527131783,0.37736434108527134,0.04806201550387597,226.05317964771697,3.6090969515002405,L800_SNR18_A8,800.0,18.0,8.0
TFT Policy,forecast,3225,1.121647000811077,1.4268850893081553,1.4857519379844961,0.03815476106213477,0.9618452389378652,1.1069845087226569,-1.3086575144397359,350,0.10852713178294573,0.38108527131782943,0.09581395348837209,225.8027822782552,3.800571919690978,L800_SNR18_A8,800.0,18.0,8.0
LSTM-raw Policy,forecast,3225,1.1103756748903963,1.4822906991251403,1.5532403100775196,0.046489378029342984,0.9535106219706571,0.702798462211029,-2.2863105222524545,261,0.08093023255813954,0.33705426356589147,0.08558139534883721,224.5386018723331,4.767270984987081,L800_SNR18_A8,800.0,18.0,8.0
Persistence Policy,forecast,3225,1.1087168432328638,1.4431174721176432,1.5082325581395353,0.041800078610597424,0.9581999213894026,0.9796976870172306,-1.8355560869461747,179,0.05550387596899225,0.3817054263565891,0.09984496124031007,224.3525490074853,4.909542712741668,L800_SNR18_A8,800.0,18.0,8.0
Fixed Balanced,fixed,3225,0.750283350795448,1.6071949011665105,1.8000000000000005,0.10711394379638287,0.8928860562036172,-0.7514651036804438,-7.126013531942659,0,0.0,0.0,0.0,184.15101449820358,35.65102996530282,L800_SNR18_A8,800.0,18.0,8.0
Fixed Conservative,fixed,3225,0.6714744115504955,0.9634971568389439,1.0,0.036502843161056044,0.963497156838944,3.2485348963195557,-3.126013531942659,0,0.0,1.0,0.0,175.31188434562992,42.410175113016905,L800_SNR18_A8,800.0,18.0,8.0
Fixed Survival,fixed,3225,0.2600549629518629,0.3462298487464852,0.35,0.01077186072432779,0.9892281392756722,7.248534896319557,0.8739864680573408,0,0.0,1.0,0.0,129.16749909816176,77.69606775810486,L800_SNR18_A8,800.0,18.0,8.0
Fixed High-Rate,fixed,3225,-0.8915915693582811,1.9386568447204688,3.0,0.35378105175984365,0.6462189482401564,-5.251465103680443,-11.62601353194266,0,0.0,0.0,1.0,0.0,176.4684423811324,L800_SNR18_A8,800.0,18.0,8.0
Fixed Peak-Rate,fixed,3225,-5.255610700973004,0.9447897586814251,4.200000000000001,0.7750500574568036,0.22494994254319645,-8.751465103680443,-15.12601353194266,0,0.0,0.0,1.0,-489.4639296281934,550.753885385294,L800_SNR18_A8,800.0,18.0,8.0
Oracle Policy,oracle,3225,1.0479920197514956,1.3448905626848784,1.3741085271317832,0.02474154524444858,0.9752584547555514,1.6240387722885488,-0.194704023471316,165,0.05116279069767442,0.41891472868217056,0.048992248062015506,145.4322127795094,0.0,L800_SNR18_A12,800.0,18.0,12.0
TCN Policy,forecast,3225,1.0055480932361693,1.3194595923159291,1.3509922480620158,0.02615929158997997,0.97384070841002,1.7417131908931998,-0.6796096106583588,273,0.08465116279069768,0.4232558139534883,0.04186046511627907,143.59219733635803,4.050023827985898,L800_SNR18_A12,800.0,18.0,12.0
TFT Policy,forecast,3225,1.0041197879827883,1.326232104087757,1.3598914728682172,0.02684269300874739,0.9731573069912526,1.7097752063970755,-0.642000752272083,301,0.09333333333333334,0.41984496124031007,0.048682170542635655,143.53027790666516,4.186313535012454,L800_SNR18_A12,800.0,18.0,12.0
Improved LSTM Policy,forecast,3225,1.0038335011822153,1.3455921393388874,1.3812868217054266,0.02847988651305602,0.971520113486944,1.5827984622110294,-0.8816972859129715,203,0.06294573643410853,0.409922480620155,0.04713178294573643,143.51786689341841,4.213631185832062,L800_SNR18_A12,800.0,18.0,12.0
PatchTST Policy,forecast,3225,0.9927329758484188,1.3066063425608094,1.3354573643410854,0.026156113892699215,0.9738438861073008,1.7649690048466882,-0.8746880849460514,311,0.09643410852713179,0.42604651162790697,0.017674418604651163,143.036640491476,5.272849684120691,L800_SNR18_A12,800.0,18.0,12.0
LSTM-raw Policy,forecast,3225,0.9854630144902855,1.377988801158255,1.4199069767441863,0.03271048222233082,0.9672895177776691,1.3499302451567654,-1.3194775759876676,211,0.06542635658914729,0.37953488372093025,0.03906976744186046,142.7214754662692,5.9665535693713805,L800_SNR18_A12,800.0,18.0,12.0
Persistence Policy,forecast,3225,0.9823786021722726,1.3343413431497124,1.3720155038759694,0.02933022841478666,0.9706697715852134,1.635201562986223,-1.018112444586938,166,0.05147286821705426,0.42077519379844963,0.048992248062015506,142.58776101607242,6.2608699629966225,L800_SNR18_A12,800.0,18.0,12.0
Fixed Conservative,fixed,3225,0.5254630389062716,0.9634971568389439,1.0,0.036502843161056044,0.963497156838944,3.2485348963195557,-3.126013531942659,0,0.0,1.0,0.0,122.77970456017232,49.860015247933696,L800_SNR18_A12,800.0,18.0,12.0
Fixed Balanced,fixed,3225,0.32182757560991665,1.6071949011665105,1.8000000000000005,0.10711394379638287,0.8928860562036172,-0.7514651036804438,-7.126013531942659,0,0.0,0.0,0.0,113.95176548852963,69.29102802841668,L800_SNR18_A12,800.0,18.0,12.0
Fixed Survival,fixed,3225,0.21696752005455183,0.3462298487464852,0.35,0.01077186072432779,0.9892281392756722,7.248534896319557,0.8739864680573408,0,0.0,1.0,0.0,109.40590610575286,79.2968347119666,L800_SNR18_A12,800.0,18.0,12.0
Fixed High-Rate,fixed,3225,-2.306715776397656,1.9386568447204688,3.0,0.35378105175984365,0.6462189482401564,-5.251465103680443,-11.62601353194266,0,0.0,0.0,1.0,0.0,320.1081432800065,L800_SNR18_A12,800.0,18.0,12.0
Fixed Peak-Rate,fixed,3225,-8.355810930800217,0.9447897586814251,4.200000000000001,0.7750500574568036,0.22494994254319645,-8.751465103680443,-15.12601353194266,0,0.0,0.0,1.0,-262.2384264371439,897.3162746775098,L800_SNR18_A12,800.0,18.0,12.0
Oracle Policy,oracle,3225,1.8935961197538722,2.2000836060263294,2.3676899224806207,0.07662187156811434,0.9233781284318856,-0.7494495998044749,-3.2982654264566547,147,0.045581395348837206,0.13085271317829458,0.5603100775193799,20.994264898916914,0.0,L800_SNR20_A4,800.0,20.0,4.0
Improved LSTM Policy,forecast,3225,1.8676689969135996,2.1980582004785254,2.384558139534884,0.08259730089123148,0.9174026991087685,-0.8161162664711415,-3.7534640700739677,177,0.05488372093023256,0.12744186046511627,0.5720930232558139,19.33761111922367,1.3692002518278628,L800_SNR20_A4,800.0,20.0,4.0
TCN Policy,forecast,3225,1.8636502191204354,2.177440692186737,2.352558139534884,0.07844761826657541,0.9215523817334246,-0.681232545540909,-3.6441950172200923,231,0.07162790697674419,0.14232558139534884,0.5553488372093023,19.08082507081373,1.581430185721397,L800_SNR20_A4,800.0,20.0,4.0
TFT Policy,forecast,3225,1.8633864543080079,2.172663454511022,2.3461085271317828,0.07731925005075356,0.9226807499492464,-0.6406123905021492,-3.430336121013351,277,0.08589147286821705,0.15875968992248063,0.5609302325581396,19.06397140848683,1.5953594924872874,L800_SNR20_A4,800.0,20.0,4.0
LSTM-raw Policy,forecast,3225,1.862768877427245,2.2339604917465867,2.4491782945736436,0.09279790357983543,0.9072020964201646,-1.0922402974788934,-4.226423757316908,141,0.04372093023255814,0.09364341085271317,0.6034108527131783,19.024510374569957,1.6279734630336082,L800_SNR20_A4,800.0,20.0,4.0
PatchTST Policy,forecast,3225,1.8620438532991306,2.183530875100527,2.3624806201550386,0.08037175545034911,0.9196282445496509,-0.7373565765486609,-3.7503065127602317,281,0.08713178294573644,0.1234108527131783,0.5510077519379845,18.978183831913864,1.6662616766896818,L800_SNR20_A4,800.0,20.0,4.0
Persistence Policy,forecast,3225,1.8532005338937345,2.1806040947446093,2.3654573643410854,0.08185089021271869,0.9181491097872814,-0.7410775067812191,-3.905756926208823,147,0.045581395348837206,0.13085271317829458,0.5584496124031008,18.413126204492606,2.133273586628825,L800_SNR20_A4,800.0,20.0,4.0
Fixed High-Rate,fixed,3225,1.5650296494101208,2.385012706890052,3.0,0.2049957643699828,0.7950042356300172,-3.2514651036804443,-9.62601353194266,0,0.0,0.0,1.0,0.0,17.351454563946728,L800_SNR20_A4,800.0,20.0,4.0
Fixed Balanced,fixed,3225,1.4322210371258055,1.685861701176974,1.8000000000000005,0.06341016601279219,0.9365898339872079,1.2485348963195562,-5.126013531942659,0,0.0,0.0,0.0,-8.486012538763884,24.365020492756173,L800_SNR20_A4,800.0,20.0,4.0
Fixed Conservative,fixed,3225,0.8988263392848688,0.9797652678569737,1.0,0.020234732143026263,0.9797652678569737,5.248534896319556,-1.1260135319426592,0,0.0,1.0,0.0,-42.568095139689675,52.533366016735535,L800_SNR20_A4,800.0,20.0,4.0
Fixed Survival,fixed,3225,0.3260369413390378,0.3480719378088881,0.35,0.005508749117462575,0.9944912508825374,9.248534896319557,2.873986468057341,0,0.0,1.0,0.0,-79.16736328529461,82.7821287793188,L800_SNR20_A4,800.0,20.0,4.0
Fixed Peak-Rate,fixed,3225,-0.12514981949592843,1.984679360745988,4.200000000000001,0.5274572950604791,0.4725427049395209,-6.751465103680444,-13.12601353194266,0,0.0,0.0,1.0,-107.9966420791516,106.60910836214616,L800_SNR20_A4,800.0,20.0,4.0
Oracle Policy,oracle,3225,1.6777828104287476,1.9891505476804212,2.0660930232558137,0.038920967156459166,0.9610790328435408,0.618767454459091,-1.1049833262847477,197,0.06108527131782946,0.27069767441860465,0.435968992248062,125.19166299145425,0.0,L800_SNR20_A8,800.0,20.0,8.0
Improved LSTM Policy,forecast,3225,1.6213925148106303,1.9992065124679266,2.0992868217054266,0.047226749707162057,0.952773250292838,0.4855891598854476,-1.8196865234823127,255,0.07906976744186046,0.2663565891472868,0.4592248062015504,117.62296913674818,3.3610009154705223,L800_SNR20_A8,800.0,20.0,8.0
TCN Policy,forecast,3225,1.6191185821967893,1.9778610407738235,2.0723410852713178,0.04484280732212934,0.9551571926778707,0.6100852839164553,-1.6975906634712694,323,0.10015503875968992,0.2849612403100775,0.45085271317829456,117.31776237002101,3.496532916377119,L800_SNR20_A8,800.0,20.0,8.0
PatchTST Policy,forecast,3225,1.615768065809323,1.9736734203980466,2.065891472868217,0.04473816932359046,0.9552618306764096,0.6079147412807965,-1.7518869726051107,381,0.11813953488372093,0.2663565891472868,0.4303875968992248,116.86805675110314,3.696231969594269,L800_SNR20_A8,800.0,20.0,8.0
TFT Policy,forecast,3225,1.615271665512991,1.974413883369771,2.069627906976744,0.044892777232097475,0.9551072227679025,0.6290000125986259,-1.6965839802729348,384,0.11906976744186047,0.2806201550387597,0.4502325581395349,116.8014300056474,3.725818653475305,L800_SNR20_A8,800.0,20.0,8.0
LSTM-raw Policy,forecast,3225,1.604671558120347,2.041226145190323,2.158635658914729,0.054569323383747,0.945430676616253,0.20093799709474994,-2.1141401197660623,264,0.08186046511627906,0.22170542635658916,0.4728682170542636,115.37868577629897,4.3576112387107715,L800_SNR20_A8,800.0,20.0,8.0
Persistence Policy,forecast,3225,1.5983014674804588,1.9659358922744952,2.0628682170542634,0.045954303099254544,0.9540456969007455,0.6321007877924244,-1.8561125668922205,198,0.061395348837209304,0.27193798449612405,0.43410852713178294,114.52369352361511,4.7372843763954045,L800_SNR20_A8,800.0,20.0,8.0
Fixed Balanced,fixed,3225,1.1785803730746365,1.685861701176974,1.8000000000000005,0.06341016601279219,0.9365898339872079,1.2485348963195562,-5.126013531942659,0,0.0,0.0,0.0,58.1888147453024,29.753698407873355,L800_SNR20_A8,800.0,20.0,8.0
Fixed Conservative,fixed,3225,0.8178874107127634,0.9797652678569737,1.0,0.020234732143026263,0.9797652678569737,5.248534896319556,-1.1260135319426592,0,0.0,1.0,0.0,9.776679683060564,51.2518899568558,L800_SNR20_A8,800.0,20.0,8.0
Fixed High-Rate,fixed,3225,0.7450465919301894,2.385012706890052,3.0,0.2049957643699828,0.7950042356300172,-3.2514651036804443,-9.62601353194266,0,0.0,0.0,1.0,0.0,55.593382689396066,L800_SNR20_A8,800.0,20.0,8.0
Fixed Survival,fixed,3225,0.3040019448691874,0.3480719378088881,0.35,0.005508749117462575,0.9944912508825374,9.248534896319557,2.873986468057341,0,0.0,1.0,0.0,-59.19692162048407,81.88073313306258,L800_SNR20_A8,800.0,20.0,8.0
Fixed Peak-Rate,fixed,3225,-2.2349789997378444,1.984679360745988,4.200000000000001,0.5274572950604791,0.4725427049395209,-6.751465103680444,-13.12601353194266,0,0.0,0.0,1.0,-399.9784206713426,233.2102692819167,L800_SNR20_A8,800.0,20.0,8.0
Oracle Policy,oracle,3225,1.5505541024610852,1.8686274062918773,1.9176279069767443,0.02650610865256602,0.973493891347434,1.3113255939939747,-0.32410889071864507,204,0.06325581395348837,0.3212403100775194,0.37550387596899226,2169.158307755856,0.0,L800_SNR20_A12,800.0,20.0,12.0
Improved LSTM Policy,forecast,3225,1.4791932035661017,1.8707289593604817,1.936046511627907,0.03262797964953165,0.9673720203504683,1.2355116405056026,-0.9251053820222664,258,0.08,0.32031007751937984,0.3882170542635659,2073.9297719936308,4.602283711462715,L800_SNR20_A12,800.0,20.0,12.0
PatchTST Policy,forecast,3225,1.4750864964511134,1.8384082421939183,1.895906976744186,0.030276812145233752,0.9697231878547663,1.3838837335288585,-0.8297800652666677,386,0.11968992248062016,0.32155038759689925,0.3544186046511628,2068.449520043047,4.8671378760784485,L800_SNR20_A12,800.0,20.0,12.0
TCN Policy,forecast,3225,1.4739981913834448,1.8464013264364245,1.9087906976744187,0.031033594587748296,0.9689664054122517,1.3806279195753701,-0.8397111739279133,336,0.10418604651162791,0.3370542635658915,0.38573643410852715,2066.997216335253,4.937326015011574,L800_SNR20_A12,800.0,20.0,12.0
TFT Policy,forecast,3225,1.4695439296509654,1.844052375818417,1.9075193798449614,0.03120903718062097,0.968790962819379,1.399077531978471,-0.8570170774539878,403,0.12496124031007752,0.32651162790697674,0.386046511627907,2061.053165331776,5.224595045186625,L800_SNR20_A12,800.0,20.0,12.0
Persistence Policy,forecast,3225,1.4538336429129408,1.8482286388700135,1.913906976744186,0.03286624966308939,0.9671337503369106,1.3271395474823469,-1.0223442228204391,204,0.06325581395348837,0.32310077519379843,0.3736434108527132,2040.088356513036,6.2377997255708,L800_SNR20_A12,800.0,20.0,12.0
LSTM-raw Policy,forecast,3225,1.446130690908793,1.9295686093784217,2.0115658914728685,0.040286493205802375,0.9597135067941976,0.8609379970947499,-1.5993988338152068,298,0.0924031007751938,0.2691472868217054,0.40310077519379844,2029.80904596958,6.7345867768527565,L800_SNR20_A12,800.0,20.0,12.0
Fixed Balanced,fixed,3225,0.9249397090234678,1.685861701176974,1.8000000000000005,0.06341016601279219,0.9365898339872079,1.2485348963195562,-5.126013531942659,0,0.0,0.0,0.0,1334.2985517638363,40.347795181388626,L800_SNR20_A12,800.0,20.0,12.0
Fixed Conservative,fixed,3225,0.7369484821406587,0.9797652678569737,1.0,0.020234732143026263,0.9797652678569737,5.248534896319556,-1.1260135319426592,0,0.0,1.0,0.0,1083.4310662163316,52.47192723098457,L800_SNR20_A12,800.0,20.0,12.0
Fixed Survival,fixed,3225,0.2819669483993372,0.3480719378088881,0.35,0.005508749117462575,0.9944912508825374,9.248534896319557,2.873986468057341,0,0.0,1.0,0.0,476.2746832677501,81.8150848169831,L800_SNR20_A12,800.0,20.0,12.0
Fixed High-Rate,fixed,3225,-0.07493646554974169,2.385012706890052,3.0,0.2049957643699828,0.7950042356300172,-3.2514651036804443,-9.62601353194266,0,0.0,0.0,1.0,0.0,104.83288299523379,L800_SNR20_A12,800.0,20.0,12.0
Fixed Peak-Rate,fixed,3225,-4.344808179979761,1.984679360745988,4.200000000000001,0.5274572950604791,0.4725427049395209,-6.751465103680444,-13.12601353194266,0,0.0,0.0,1.0,-5697.989200725971,380.210034147377,L800_SNR20_A12,800.0,20.0,12.0
Oracle Policy,oracle,3225,2.4136086204649163,2.7395529919952866,2.975193798449612,0.08148609288259269,0.9185139071174073,-0.8347209176339322,-3.3452344785371957,167,0.05178294573643411,0.03565891472868217,0.7150387596899225,12.414124199374315,0.0,L800_SNR22_A4,800.0,22.0,4.0
Improved LSTM Policy,forecast,3225,2.377471465125268,2.7219772744091015,2.976186046511628,0.0861264523209584,0.9138735476790416,-0.8480542509672656,-3.656518981268071,255,0.07906976744186046,0.027906976744186046,0.7125581395348837,10.731031657311378,1.4972251521328879,L800_SNR22_A4,800.0,22.0,4.0
TCN Policy,forecast,3225,2.3765080657701856,2.7102516150551788,2.9551007751937988,0.08343588732124814,0.9165641126787518,-0.7702247936029245,-3.5070475106906516,281,0.08713178294573644,0.028217054263565893,0.6967441860465116,10.686161211524288,1.5371404618029707,L800_SNR22_A4,800.0,22.0,4.0
TFT Policy,forecast,3225,2.3749558849672288,2.7140940666116147,2.96539534883721,0.0847845454110964,0.9152154545889036,-0.7954961114323819,-3.5371613599428535,343,0.10635658914728682,0.03441860465116279,0.7023255813953488,10.613868195960785,1.6014500101612228,L800_SNR22_A4,800.0,22.0,4.0
PatchTST Policy,forecast,3225,2.3697139296587872,2.691679514160557,2.9235968992248065,0.08049139612544251,0.9195086038745575,-0.6796821579440098,-3.614955521935628,316,0.09798449612403101,0.03689922480620155,0.7125581395348837,10.369723470053566,1.818633329113398,L800_SNR22_A4,800.0,22.0,4.0
LSTM-raw Policy,forecast,3225,2.366150961931055,2.760504225575818,3.0602790697674425,0.09858831591119065,0.9014116840888093,-1.1447984370137771,-4.125637063082739,244,0.07565891472868216,0.026046511627906978,0.7609302325581395,10.203777801287059,1.9662532745147334,L800_SNR22_A4,800.0,22.0,4.0
Persistence Policy,forecast,3225,2.3631958181219455,2.7116283961107057,2.971472868217055,0.08710814449718995,0.91289185550281,-0.8226278943781182,-3.7483837713998147,168,0.052093023255813956,0.03565891472868217,0.7137984496124031,10.066141607760263,2.088690018568967,L800_SNR22_A4,800.0,22.0,4.0
Fixed High-Rate,fixed,3225,2.147068829344089,2.634458069718895,3.0,0.12184731009370159,0.8781526899062984,-1.2514651036804438,-7.626013531942659,0,0.0,0.0,1.0,0.0,11.04320679255304,L800_SNR22_A4,800.0,22.0,4.0
Fixed Peak-Rate,fixed,3225,1.6743391695908407,2.906368842961162,4.200000000000001,0.30800741834258044,0.6919925816574195,-4.751465103680443,-11.12601353194266,0,0.0,0.0,1.0,-22.017443190103183,30.62921820074024,L800_SNR22_A4,800.0,22.0,4.0
Fixed Balanced,fixed,3225,1.588283509665875,1.7342948823100992,1.8000000000000005,0.036502843161056044,0.963497156838944,3.2485348963195557,-3.126013531942659,0,0.0,0.0,0.0,-26.02549634372542,34.19465375625253,L800_SNR22_A4,800.0,22.0,4.0
Fixed Conservative,fixed,3225,0.9461406963783611,0.9892281392756722,1.0,0.01077186072432779,0.9892281392756722,7.248534896319557,0.8739864680573408,0,0.0,1.0,0.0,-55.93337840653209,60.79974655559058,L800_SNR22_A4,800.0,22.0,4.0
